species,ID_number,country,state,locality,latitude,longitude,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Anolis_ortonii,BM028,Brazil,RO,UHE_Belo_Monte_Vitoria_do_Xingu_Rio_Xingu,-3.3228,-51.8448,256,93,80,457,317,201,116,252,262,263,251,2101,398,31,70,1004,109,152,942
Anolis_ortonii,BM565,Brazil,PA,Anapu,-3.4051,-51.4222,260,93,80,444,320,204,116,256,265,267,256,2197,358,34,70,1028,115,149,969
Anolis_ortonii,H2026,Brazil,RO,Porto_Velho_Mutum,-9.5981,-65.0478,264,106,75,606,334,193,141,261,259,271,256,1783,276,22,59,757,90,264,150
Anolis_ortonii,H2594,Brazil,RO,Porto_Velho_Abuna,-9.6341,-65.4399,263,106,75,575,334,193,141,262,259,271,256,1626,269,9,64,713,65,411,114
Anolis_ortonii,LSUMZH12993,Ecuador,Sucumbios,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,254,95,86,527,310,200,110,247,258,259,245,2931,338,155,23,944,504,560,910
Anolis_ortonii,LSUMZH13904,Brazil,AC,Porto_Walter_Rio_Jurua,-8.2509,-72.7677,255,103,75,584,319,183,136,258,247,261,246,2149,308,37,49,822,174,675,247
Anolis_ortonii,LSUMZH14099,Brazil,AM,Labrea_Rio_Ituxi_Madeirera_Scheffer,-8.3464,-65.7161,263,105,78,443,328,194,134,263,258,267,256,2130,320,22,63,917,98,508,123
Anolis_ortonii,LSUMZH14163,Brazil,PA,Alter_de_Chao,-2.5027,-54.9718,261,93,78,563,323,204,119,257,267,269,255,1977,340,33,66,928,122,145,482
Anolis_ortonii,LSUMZH14304,Brazil,PA,Belterra_Agropecuaria_Treviso_LTDA,-3.1456,-54.8396,256,96,79,537,319,198,121,252,262,264,251,1945,339,44,64,890,150,164,796
Anolis_ortonii,MPEG25699,Brazil,PA,Portel_FLONA_Caxiuana_Plote_PPBIO,-1.9936,-51.6153,268,97,86,440,329,217,112,264,273,273,262,2242,334,56,57,972,186,195,862
Anolis_ortonii,MPEG27688,Brazil,PA,Belem_Campus_de_Pesquisa_do_MPEG,-1.451,-48.4453,268,94,88,309,323,217,106,265,271,271,263,2504,375,88,50,1047,295,295,1044
Anolis_ortonii,MPEG29325,Brazil,AM,Urucara_Marajatuba,-2.3867,-57.6395,272,85,80,519,331,226,105,267,279,279,266,2038,330,50,55,877,197,197,870
Anolis_ortonii,MPEG29465,Brazil,PA,Itaituba_Sao_Luis,-4.4725,-56.2461,274,97,79,511,337,215,122,269,277,280,267,2112,302,70,48,861,232,276,846
Anolis_ortonii,MTR09910,Brazil,BA,Ilheus,-14.7972,-39.05,247,63,61,936,296,194,102,254,247,258,233,1916,201,128,14,560,395,510,507
Anolis_ortonii,MTR12160,Brazil,ES,Reserva_da_Cia_Vale_do_Rio_Doce_Linhares,-19.1517,-40.0644,239,94,64,1597,312,167,145,253,220,260,218,1210,183,39,49,524,146,365,147
Anolis_ortonii,MTR12291,Brazil,ES,Floresta_Nacional_de_Goytacazes_Linhares,-19.4483,-40.0804,242,91,61,1699,315,168,147,257,221,264,220,1202,189,36,51,535,139,360,144
Anolis_ortonii,MTR18907,Brazil,AM,Lago_Chaviana_Itapuru_Rio_Purus,-4.3072,-61.8155,267,88,83,370,323,218,105,264,267,272,262,2503,325,90,37,857,319,409,854
Anolis_ortonii,MTR19241,Brazil,AM,Moiobamba_Rio_Purus,-4.7279,-62.1321,264,89,83,377,321,214,107,260,264,269,260,2532,340,87,38,875,311,440,875
Anolis_ortonii,MTR28130,Brazil,AC,Serra_do_Divisor,-7.4388,-73.6582,258,106,77,582,323,186,137,259,250,263,249,2474,322,83,37,858,282,745,375
Anolis_ortonii,MTR34278,Brazil,BA,CEPLAC_Barrolandia,-16.0944,-39.2748,238,76,66,1256,292,178,114,244,230,252,219,1254,156,71,20,386,270,286,293
Anolis_ortonii,MTR34436,Brazil,BA,CEPLAC_Barrolandia,-16.0944,-39.2748,238,76,66,1256,292,178,114,244,230,252,219,1254,156,71,20,386,270,286,293
Anolis_ortonii,MTR977671,Brazil,MT,Rio_Aripuana,-10.1758,-59.45,246,125,67,532,336,150,186,245,241,252,239,1942,327,8,73,948,46,235,94
Anolis_ortonii,UFAC0085,Brazil,AC,Fazenda_Experimental_Catuaba,-10.0679,-67.6063,260,107,74,744,327,183,144,262,254,266,248,1920,282,35,56,816,118,465,182
Anolis_punctatus,BM288,Brazil,PA,Vitoria_do_Xingu,-3.3228,-51.8448,256,93,80,457,317,201,116,252,262,263,251,2101,398,31,70,1004,109,152,942
Anolis_punctatus,GN71,Brazil,MT,Guaranta_do_Norte,-9.7307,-54.6064,242,145,68,636,353,142,211,236,239,249,236,2405,373,10,69,1082,45,379,1082
Anolis_punctatus,H1907,Brazil,RO,Porto_Velho_Caicara,-9.4459,-64.8247,262,106,75,559,332,192,140,260,259,269,256,1889,273,29,57,781,102,281,167
Anolis_punctatus,H1911,Brazil,RO,Porto_Velho_Caicara,-9.4358,-64.8203,263,106,76,557,332,193,139,260,260,270,256,1889,273,29,58,782,101,281,166
Anolis_punctatus,H2546,Brazil,RO,Porto_Velho_Abuna,-9.5979,-65.3576,264,106,75,560,334,193,141,262,259,270,257,1667,275,12,63,728,73,413,124
Anolis_punctatus,IBSPCRIB0361,Brazil,SP,Bertioga,-23.7564,-46.0247,226,75,52,2301,293,150,143,256,197,256,197,2803,359,103,39,1037,337,1037,337
Anolis_punctatus,ICST764,Brazil,AL,Campo_Alegre,-9.8092,-36.2838,239,79,67,1381,300,183,117,226,252,254,220,1163,198,24,65,561,90,173,471
Anolis_punctatus,JFT459,Brazil,ES,Rebio_Duas_Bocas_Cariacica,-20.2811,-40.5219,216,93,62,1679,291,142,149,230,195,237,194,1249,197,44,48,542,154,368,167
Anolis_punctatus,JFT773,Brazil,ES,Recanto_da_Preguica_Santa_Teresa,-19.96,-40.52,209,98,64,1625,285,132,153,223,189,230,189,1285,204,41,51,573,148,397,157
Anolis_punctatus,LG1299,Brazil,BA,Una,-15.2696,-39.0694,241,70,64,1078,293,184,109,245,233,253,225,1586,156,99,11,435,348,412,387
Anolis_punctatus,LSUMZH12577,Ecuador,Sucumbios,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,254,95,86,527,310,200,110,247,258,259,245,2931,338,155,23,944,504,560,910
Anolis_punctatus,LSUMZH12751,Ecuador,Sucumbios,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,254,95,86,527,310,200,110,247,258,259,245,2931,338,155,23,944,504,560,910
Anolis_punctatus,LSUMZH13910,Brazil,AC,Porto_Walter_Rio_Jurua,-8.2509,-72.7677,255,103,75,584,319,183,136,258,247,261,246,2149,308,37,49,822,174,675,247
Anolis_punctatus,LSUMZH14100,Brazil,AM,Labrea_Rio_Ituxi_Madeirera_Scheffer,-8.3464,-65.7161,263,105,78,443,328,194,134,263,258,267,256,2130,320,22,63,917,98,508,123
Anolis_punctatus,LSUMZH14336,Brazil,PA,Belterra_Agropecuaria_Treviso_LTDA,-3.1354,-54.8416,254,96,79,523,317,196,121,251,260,261,249,1954,342,45,64,895,152,165,795
Anolis_punctatus,LSUMZH15476,Brazil,RO,Nova_Mamore_Parque_Estadual_Guajara_Mirim,-10.3167,-64.55,262,109,74,587,336,190,146,261,257,269,255,1815,280,20,60,787,79,269,150
Anolis_punctatus,MPEG20846,Brazil,PA,Juruti,-2.6096,-56.1842,267,90,81,569,330,219,111,261,274,275,261,2207,331,54,58,973,183,224,915
Anolis_punctatus,MPEG21348,Brazil,RO,Guajara_Mirim_Parque_Nacional_Serra_da_Cutia,-11.6996,-64.3915,257,118,72,621,339,177,162,258,251,265,249,1593,255,8,65,724,52,364,115
Anolis_punctatus,MPEG22415,Brazil,PA,Santa_Barbara_do_Para_Parque_Ecologico_de_Gunma,-1.2169,-48.2948,268,88,88,332,322,222,100,265,272,272,263,2333,383,55,59,1074,205,252,1021
Anolis_punctatus,MPEG24758,Brazil,PA,Oriximina_Porto_Trombetas_Plato_Bacaba,-1.7731,-56.3706,266,90,81,611,329,219,110,261,275,275,259,2420,408,60,57,1064,213,213,969
Anolis_punctatus,MPEG26102,Brazil,PA,Portel_FLONA_Caxiuana_Plote_PPBIO,-1.9969,-51.6418,268,97,85,439,329,216,113,264,273,273,262,2250,336,56,56,978,188,196,862
Anolis_punctatus,MPEG28489,Brazil,PA,Juruti,-2.5475,-56.2256,267,90,81,557,330,219,111,261,274,274,261,2223,338,52,58,982,179,224,919
Anolis_punctatus,MPEG29314,Brazil,AM,Lindoia,-2.9096,-59.0495,271,86,81,429,328,223,105,268,275,277,267,2241,312,86,42,849,276,301,841
Anolis_punctatus,MPEG29943,Brazil,PA,Ruropolis,-4.1144,-55.6771,273,96,80,488,336,216,120,268,275,279,266,1984,298,67,51,839,209,281,834
Anolis_punctatus,MTR05978,Brazil,BA,Serra_do_Teimoso_Jussari,-15.1547,-39.5233,233,75,65,1191,289,174,115,243,229,247,216,1153,127,58,26,374,199,351,239
Anolis_punctatus,MTR12338,Brazil,ES,FLONA_Goyatacazes_Linhares,-19.4483,-40.0804,242,91,61,1699,315,168,147,257,221,264,220,1202,189,36,51,535,139,360,144
Anolis_punctatus,MTR12511,Brazil,ES,Reserva_CVRD_Linhares,-19.0564,-39.8942,242,90,63,1565,314,172,142,255,222,263,222,1230,180,46,45,508,164,357,164
Anolis_punctatus,MTR15267,Brazil,RJ,Cachoeira_do_Macacu,-22.4354,-42.6216,209,101,59,2127,292,123,169,234,182,236,182,1478,251,28,63,677,102,616,102
